index,PWM,kmers,onehot
199,0.4447086,0.9468753,4.1536385
200,0.4035175,0.9412325,4.2052383
201,0.4003027,0.9271177,4.5236997
202,0.3984667,0.9458475,4.451882
203,0.3702135,0.961228,4.2948338
204,0.3663823,0.9854167,4.3819129
205,0.3911624,0.9601893,4.2577425
206,0.3998568,0.9995567,4.2494029
207,0.4012117,0.9731567,4.4248982
208,0.3761834,0.946346,4.4748482
209,0.4170803,0.9567603,4.3882105
210,0.4234982,0.9631569,4.3127116
211,0.4037757,0.9963273,4.2647289
212,0.4307466,0.9839527,4.1390287
213,0.3880194,0.9701092,4.2093667
214,0.4043402,0.9698276,4.6266934
215,0.4137737,0.9934809,4.3073691
216,0.4300511,0.9693377,4.514926
217,0.3805671,0.9605143,5.0099565
218,0.3880298,0.9744793,4.6266512
219,0.4194082,0.9920989,4.6954428
220,0.4058527,0.9658622,4.5788046
221,0.3857923,0.9823603,4.5067807
222,0.3979749,0.9924393,4.6798344
223,0.4477847,0.997599,4.4952645
224,0.3950062,0.9483154,4.3141586
225,0.4217244,1.0141871,4.6679818
226,0.4427151,1.0056183,5.3549565
227,0.411498,0.9914665,5.4024739
228,0.4043488,0.9706654,4.4663595
229,0.4347368,1.0008205,4.6270728
230,0.40574,1.0028529,4.5858896
231,0.4225658,1.0467414,4.6061644
232,0.4119218,1.0065552,4.6738893
233,0.4208535,1.0396751,4.5673958
234,0.4363645,0.9974505,4.5929758
235,0.4489387,1.0128229,4.6940963
236,0.4137321,1.0389352,4.4664815
237,0.4268831,1.0015501,4.5189372
238,0.4404432,1.0711627,4.618547
239,0.4386331,1.0566346,4.8741371
240,0.4183829,1.0352269,4.7379398
241,0.4224076,1.0476918,4.7354771
242,0.398682,1.0263557,4.7591159
243,0.3991235,1.0388564,5.0393341
244,0.4350074,1.0424399,4.9121572
245,0.4719879,1.0141615,4.9914195
246,0.4346009,1.0331125,4.8907493
247,0.4528088,1.0130127,4.9494311
248,0.453868,1.0147468,4.8012016
249,0.4718322,1.0264557,5.2168946
250,0.4529528,1.0181945,5.0896326
251,0.4413766,1.0239162,6.51922
252,0.4334709,1.0330989,5.7197424
253,0.4690447,1.0278668,5.1035958
254,0.5001969,1.0129917,4.9373878
255,0.4464263,1.0383021,5.0716652
256,0.4317087,1.0778345,5.0335611
257,0.4363053,1.0867105,5.2735311
258,0.4644385,1.0540702,5.371411
259,0.4569234,1.0649247,5.3587798
260,0.441279,1.0801373,5.4690951
261,0.465575,1.0242929,5.2735446
262,0.4474485,1.0964003,5.2975875
263,0.4458264,1.0986678,5.3123113
264,0.4456729,1.072263,5.2086689
265,0.5526523,1.0769665,5.3317488
266,0.4779837,1.0879949,5.2630869
267,0.5521367,1.0607004,5.2151307
268,0.4874425,1.0794829,5.4463867
269,0.539215,1.0409232,5.4844469
270,0.5348598,1.1113493,5.4842916
271,0.5819504,1.0638938,5.6521946
272,0.4599431,1.0719385,5.67818
273,0.5392532,1.0566758,5.9501784
274,0.5529112,1.0554644,6.6766949
275,0.5771706,1.015239,5.7288614
276,0.7093344,1.05525,5.8302451
277,0.8675254,1.0602347,5.7229687
278,1.0069351,1.1591803,5.6838078
279,1.1893853,1.0450749,5.9687242
280,0.7939462,1.0471286,6.0851976
281,0.8953946,1.0790288,5.8521139
282,0.8902283,1.0275305,6.1545645
283,0.9468671,1.0575118,5.7122318
284,0.9154764,1.0697888,5.7652372
285,0.6399935,1.1238236,5.9060292
286,0.6598658,1.0117346,5.8872014
287,0.8775232,1.0661576,5.8025882
288,0.8966051,1.0989628,5.885089
289,0.6765964,1.0699211,5.6575341
290,0.8025359,1.1700161,5.7436357
291,0.9692855,1.1241796,6.0772377
292,0.8490284,1.1225551,5.8128337
293,0.7620464,1.0786219,5.6874621
294,0.5555256,1.151222,7.9394601
295,0.5168651,1.10564,5.5143237
296,0.5772343,1.0289559,5.9225412
297,0.5405284,1.3472119,5.7134687
298,0.5568665,1.2806572,5.9226824
299,0.5206282,1.511909,5.6488662
300,0.5292914,1.2912449,5.5404937
301,0.5453938,1.1660224,5.7913324
302,0.7360326,1.1426989,6.1423903
303,0.6517346,1.1018716,5.9494041
304,0.5478278,1.1087847,6.3364359
305,0.5214514,1.1055259,6.1696866
306,0.5567863,1.1511691,6.343677
307,0.5567726,1.1101901,5.8484931
