ind,Pearson,PvalPearson,Spearman,PvalSpearman,pearson > 0.3,pearson < -0.3,spearman > 0.3,spearman < -0.3
8405,-0.123105585,0,-0.103762,0,0,0,0,0
8406,0.002161078,0.872033,0.0004796,0.9714856,0,0,0,0
8407,0.533642974,0,0.485882,0,1,0,1,0
8408,0.001932304,0.8854808,0.0022841,0.8648177,0,0,0,0
8409,-0.208000453,0,-0.2666824,0,0,0,0,0
8410,-0.048670764,0.0002836,-0.0402844,0.0026661,0,0,0,0
8411,-0.027480146,0.0404987,-0.0231622,0.0842339,0,0,0,0
8412,0.007049287,0.5992866,0.0104002,0.4382207,0,0,0,0
8413,-0.027480146,0.0404987,-0.0231622,0.0842339,0,0,0,0
8414,-0.01487481,0.2675343,-0.01583,0.2380134,0,0,0,0
8415,-0.048670764,0.0002836,-0.0402844,0.0026661,0,0,0,0
8416,0.003347451,0.8029711,0.0039569,0.7680502,0,0,0,0
8417,-0.054975134,0.0000412,-0.0463369,0.0005491,0,0,0,0
8418,-0.027480146,0.0404987,-0.0231622,0.0842339,0,0,0,0
8419,0.381415566,0,0.3261152,0,1,0,1,0
8420,-0.11676713,0,-0.0984196,0,0,0,0,0
8421,-0.025286132,0.0594286,-0.0314296,0.0191196,0,0,0,0
8422,0.022964359,0.0869189,0.0384795,0.0041159,0,0,0,0
8423,0.014618431,0.275869,0.0146795,0.2738666,0,0,0,0
8424,-0.045179242,0.000754,-0.0375567,0.0051057,0,0,0,0
8425,-0.038866292,0.0037555,-0.0327592,0.0145911,0,0,0,0
8426,-0.090455171,0,-0.0698301,0.0000002,0,0,0,0
8427,-0.045179242,0.000754,-0.0375567,0.0051057,0,0,0,0
8428,0.03167111,0.0182156,0.0354433,0.0082271,0,0,0,0
8429,0.010626455,0.4283213,0.0087402,0.5147453,0,0,0,0
8430,-0.116598334,0,-0.0987505,0,0,0,0,0
8431,-0.027480146,0.0404987,-0.0231622,0.0842339,0,0,0,0
8432,-0.045179242,0.000754,-0.0375567,0.0051057,0,0,0,0
8433,-0.002269475,0.8656739,-0.0056224,0.6751675,0,0,0,0
8434,-0.048670764,0.0002836,-0.0402844,0.0026661,0,0,0,0
8435,-0.032042168,0.0168997,-0.0264052,0.049015,0,0,0,0
8436,-0.013535488,0.3130145,-0.0099941,0.4563139,0,0,0,0
8437,-0.057649595,0.000017,-0.0476839,0.0003763,0,0,0,0
8438,0.010335861,0.4410589,0.0103791,0.4391515,0,0,0,0
8439,-0.038866292,0.0037555,-0.0327592,0.0145911,0,0,0,0
8440,-0.052873677,0.0000802,-0.0441122,0.0010036,0,0,0,0
8441,0.014310594,0.2861083,0.027404,0.0410579,0,0,0,0
8442,0.017589804,0.1898032,0.0182191,0.1744389,0,0,0,0
8443,0.017589804,0.1898032,0.0182191,0.1744389,0,0,0,0
8444,-0.035894919,0.007444,-0.0296136,0.0272622,0,0,0,0
8445,0.024880218,0.0636334,0.0257704,0.0547168,0,0,0,0
8446,0.008870908,0.5084789,0.0104859,0.4344572,0,0,0,0
8447,-0.025379257,0.0584972,-0.0209381,0.1185714,0,0,0,0
8448,-0.047164145,0.0004359,-0.0542638,0.0000518,0,0,0,0
8449,-0.049323157,0.0002346,-0.0469211,0.0004667,0,0,0,0
8450,-0.009997389,0.4561651,-0.0108436,0.4189438,0,0,0,0
8451,-0.024260965,0.070519,-0.0198102,0.1397555,0,0,0,0
8452,-0.015858404,0.2371723,-0.0107659,0.4222864,0,0,0,0
8453,-0.02334223,0.0818493,-0.0179283,0.1814185,0,0,0,0
8454,-0.045518579,0.0006875,-0.0400958,0.0027921,0,0,0,0
